target,file,filter,ra,dec,x,y,mag_aper,e_mag_aper,dist,snr
J155836.02-190439.3,iexn24020_drc.fits,F850LP,239.65004354808272,-19.077640251515312,766.3109116120077,867.7452488824089,21.230728784369646,0.027102719992399216,2.8172543699014834,150.70965576171875
J160412.34-212747.2,iexn25010_drc.fits,F814W,241.05138038561387,-21.463169678265672,767.2741369575589,868.1808387971042,22.605761593689568,0.032159022986888885,1.958628254289993,124.45342254638672
J160412.34-212747.2,iexn25020_drc.fits,F850LP,241.0513839678652,-21.463169524914804,767.1168891452419,868.6167802928428,21.50207729871567,0.03515549376606941,1.6410915696753934,104.2608413696289
J160812.99-230431.6,iexn26010_drc.fits,F814W,242.05406365564292,-23.07553283100435,762.8032988541323,868.3386737105842,23.158814400930627,0.05348488688468933,5.455795802572389,94.60868835449219
J160812.99-230431.6,iexn26020_drc.fits,F850LP,242.0540653423698,-23.075534036520793,762.4960614353321,868.6626209952535,21.887340325812247,0.05048225075006485,5.66409060008537,78.61779022216797
J155828.95-253031.9,iexn27010_drc.fits,F814W,239.62062193732433,-25.508914240698903,766.5062417418966,868.5727555587627,22.63352487139085,0.03194856271147728,2.0659962315297316,134.02426147460938
J155828.95-253031.9,iexn27020_drc.fits,F850LP,239.62062544998784,-25.508915059699746,766.2640761389433,868.9157256164447,21.634145024757345,0.039212916046381,2.0467248447752397,107.97724914550781
J161345.89-244231.0,iexn28010_drc.fits,F814W,243.44117735213527,-24.708673249244455,764.8111626112901,867.4688706923231,23.04787203916855,0.04391093552112579,4.0712773749543345,93.4320068359375
J161345.89-244231.0,iexn28020_drc.fits,F850LP,243.44117667805867,-24.708676167430735,764.534113646972,867.8619235167661,21.830881445870197,0.04658469557762146,4.07231374776847,73.0282211303711
J161352.17-244356.2,iexn29010_drc.fits,F814W,243.4673454103065,-24.732326639157247,766.1267271015553,866.3793213921639,22.939668752872823,0.04018165543675423,4.076575147509186,117.77185821533203
J161352.17-244356.2,iexn29020_drc.fits,F850LP,243.4673429143155,-24.73232575815193,765.8069525656814,866.7476472260553,21.813999271557613,0.04589207097887993,3.92265925302687,81.72687530517578
